price,ts
60.98,1760666400
60.94,1760666580
60.97,1760666760
60.98,1760666940
60.92,1760667120
60.92,1760667300
61,1760667480
60.99,1760667660
60.99,1760667840
60.97,1760668020
60.96,1760668200
60.98,1760668380
61.01,1760668560
61,1760668740
61.03,1760668920
61.01,1760669100
61.04,1760669280
61.02,1760669460
61.03,1760669640
61.05,1760669820
60.99,1760670000
60.94,1760670180
60.96,1760670360
60.97,1760670540
60.96,1760670720
60.98,1760670900
60.98,1760671080
60.99,1760671260
61.02,1760671440
60.99,1760671620
60.96,1760671800
60.98,1760671980
60.99,1760672160
60.92,1760672340
60.85,1760672520
60.87,1760672700
60.76,1760672880
60.73,1760673060
60.71,1760673240
60.7,1760673420
60.64,1760673600
60.63,1760673780
60.62,1760673960
60.63,1760674140
60.69,1760674320
60.72,1760674500
60.81,1760674680
60.76,1760674860
60.78,1760675040
60.75,1760675220
60.77,1760675400
60.78,1760675580
60.84,1760675760
60.82,1760675940
60.84,1760676120
60.86,1760676300
60.93,1760676480
60.91,1760676660
60.91,1760676840
60.9,1760677020
60.89,1760677200
60.85,1760677380
60.87,1760677560
60.87,1760677740
60.88,1760677920
60.9,1760678100
60.91,1760678280
60.9,1760678460
60.9,1760678640
60.91,1760678820
60.97,1760679000
60.98,1760679180
60.91,1760679360
60.92,1760679540
60.91,1760679720
60.92,1760679900
60.86,1760680080
60.84,1760680260
60.87,1760680440
60.9,1760680620
60.91,1760680800
60.96,1760680980
60.93,1760681160
61.02,1760681340
61.08,1760681520
61.05,1760681700
61.04,1760681880
61.04,1760682060
61.04,1760682240
61.08,1760682420
61.04,1760682600
61.01,1760682780
60.96,1760682960
60.98,1760683140
61.02,1760683320
61.04,1760683500
61.07,1760683680
61.05,1760683860
60.9,1760684040
60.88,1760684220
60.86,1760684400
60.88,1760684580
60.89,1760684760
60.89,1760684940
60.89,1760685120
60.9,1760685300
60.92,1760685480
60.93,1760685660
60.92,1760685840
60.94,1760686020
60.85,1760686200
60.87,1760686380
60.9,1760686560
60.9,1760686740
60.93,1760686920
60.93,1760687100
60.91,1760687280
60.94,1760687460
60.85,1760687640
60.87,1760687820
60.83,1760688000
60.84,1760688180
60.86,1760688360
60.82,1760688540
60.79,1760688720
60.84,1760688900
60.81,1760689080
60.83,1760689260
60.84,1760689440
60.94,1760689620
60.96,1760689800
61.01,1760689980
61,1760690160
60.91,1760690340
60.88,1760690520
60.87,1760690700
60.79,1760690880
60.73,1760691060
60.65,1760691240
60.64,1760691420
60.62,1760691600
60.56,1760691780
60.53,1760691960
60.66,1760692140
60.63,1760692320
60.65,1760692500
60.58,1760692680
60.56,1760692860
60.67,1760693040
60.6,1760693220
60.52,1760693400
60.54,1760693580
60.55,1760693760
60.61,1760693940
60.64,1760694120
60.71,1760694300
60.68,1760694480
60.79,1760694660
60.78,1760694840
60.72,1760695020
60.75,1760695200
60.69,1760695380
60.72,1760695560
60.73,1760695740
60.68,1760695920
60.64,1760696100
60.61,1760696280
60.59,1760696460
60.62,1760696640
60.56,1760696820
60.38,1760697000
60.33,1760697180
60.4,1760697360
60.44,1760697540
60.41,1760697720
60.4,1760697900
60.45,1760698080
60.44,1760698260
60.45,1760698440
60.35,1760698620
60.32,1760698800
60.27,1760698980
60.23,1760699160
60.27,1760699340
60.43,1760699520
60.37,1760699700
60.4,1760699880
60.43,1760700060
60.45,1760700240
60.41,1760700420
60.42,1760700600
60.42,1760700780
60.53,1760700960
60.47,1760701140
60.39,1760701320
60.22,1760701500
60.25,1760701680
60.22,1760701860
60.32,1760702040
60.43,1760702220
60.39,1760702400
60.39,1760702580
60.41,1760702760
60.38,1760702940
60.36,1760703120
60.33,1760703300
60.33,1760703480
60.35,1760703660
60.31,1760703840
60.4,1760704020
60.46,1760704200
60.57,1760704380
60.62,1760704560
60.7,1760704740
60.72,1760704920
60.67,1760705100
60.61,1760705280
60.67,1760705460
60.75,1760705640
60.62,1760705820
60.72,1760706000
60.69,1760706180
60.75,1760706360
60.83,1760706540
61.01,1760706720
60.84,1760706900
60.83,1760707080
60.85,1760707260
60.84,1760707440
60.9,1760707620
60.97,1760707800
60.92,1760707980
60.92,1760708160
60.88,1760708340
60.97,1760708520
60.99,1760708700
61,1760708880
60.95,1760709060
61.01,1760709240
61.03,1760709420
61.02,1760709600
61,1760709780
61.17,1760709960
61.13,1760710140
61.06,1760710320
61.04,1760710500
61.05,1760710680
61.07,1760710860
60.96,1760711040
61.1,1760711220
61.14,1760711400
61.18,1760711580
61.23,1760711760
61.15,1760711940
61.25,1760712120
61.22,1760712300
61.21,1760712480
61.17,1760712660
61.23,1760712840
61.14,1760713020
61,1760713200
60.88,1760713380
60.97,1760713560
61,1760713740
61.12,1760713920
61.1,1760714100
61.15,1760714280
61.12,1760714460
61.04,1760714640
61.02,1760714820
60.83,1760715000
60.99,1760715180
61.16,1760715360
61.03,1760715540
60.97,1760715720
60.98,1760715900
61.06,1760716080
61.05,1760716260
61.11,1760716440
60.98,1760716620
61.13,1760716800
61.02,1760716980
61,1760717160
61,1760717340
61.1,1760717520
61.15,1760717700
61.15,1760717880
60.99,1760718060
61.06,1760718240
61.09,1760718420
61.04,1760718600
60.93,1760718780
61.03,1760718960
61,1760719140
61.02,1760719320
61.12,1760719500
61.13,1760719680
61.13,1760719860
61.08,1760720040
61.06,1760720220
61.25,1760720400
61.23,1760720580
61.21,1760720760
61.03,1760720940
60.88,1760721120
60.95,1760721300
61.01,1760721480
61,1760721660
61.05,1760721840
61,1760722020
61.05,1760722200
60.97,1760722380
61,1760722560
61.11,1760722740
61.07,1760722920
61.05,1760723100
61.08,1760723280
61.1,1760723460
61.17,1760723640
61.16,1760723820
61.11,1760724000
61.18,1760724180
61.16,1760724360
61.19,1760724540
61.19,1760724720
61.19,1760724900
61.17,1760725080
61.15,1760725260
61.09,1760725440
61.12,1760725620
61.07,1760725800
61.03,1760725980
61.08,1760726160
61.08,1760726340
60.98,1760726520
60.98,1760726700
60.97,1760726880
60.97,1760727060
60.84,1760727240
60.92,1760727420
60.89,1760727600
61.03,1760727780
61.05,1760727960
61,1760728140
61.04,1760728320
61.03,1760728500
61.02,1760728680
61,1760728860
60.98,1760729040
60.96,1760729220
60.97,1760729400
60.99,1760729580
61.06,1760729760
61.09,1760729940
61.12,1760730120
61.23,1760730300
61.16,1760730480
61.19,1760730660
61.19,1760730840
61.15,1760731020
61.16,1760731200
61.22,1760731380
61.32,1760731560
61.33,1760731740
61.31,1760731920
61.39,1760732100
61.37,1760732280
61.33,1760732460
61.38,1760732640
61.25,1760732820
61.36,1760733000
61.38,1760733180
61.38,1760733360
61.33,1760733540
61.31,1760733720
61.33,1760733900
61.34,1760734080
61.33,1760734260
61.34,1760734440
61.31,1760734620
61.24,1760734800
61.3,1760734980
61.31,1760735160
61.34,1760735340
61.31,1760735520
61.29,1760735700
61.36,1760735880
61.38,1760736060
61.34,1760736240
61.35,1760736420
61.33,1760736600
61.34,1760736780
61.34,1760736960
61.33,1760737140
61.36,1760737320
61.32,1760737500
61.3,1760737680
61.29,1760737860
61.28,1760738040
61.29,1760738220
61.38,1760738400
